hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay
0.00973083177677474,0.006606372752025266,0.0010231033700076621,-0.04426954853351893,-0.019845298896612063,-0.008648028052618389,0.0034458538422019887,-0.018061731994383122,-0.030543318711038592
0.09913652648391871,-0.005151226044382289,-0.0002639896660521649,-0.09090189168627359,0.015370618141549944,-0.000113989108922922,0.010665391392235556,-0.001463165279790399,0.0019465847899917087
0.07126823237252364,-0.010483708494135185,-0.0002412467586885101,-0.09930567367213497,-0.016113647915474594,-0.010289989329136759,-0.005267089580803545,-0.002587602580165756,-0.024939195014537112
-0.10184535437997524,0.0036943360861177747,0.0013014889117981784,-0.008086288126691089,-0.006881611533760085,-0.0017426059090350807,-0.004882572119960085,-0.005336109300178625,-0.010522380185119355
-0.011329826873907673,0.009071228212033574,0.0038096267426896875,-0.04416357264207266,-0.019227972746925434,0.0027016076952847247,-0.006014952428162487,0.01602227386171418,0.009053452667468199
-0.1740916392597742,0.007578159979405527,-0.00023162900762185694,0.08345848131647092,0.0886567486734021,5.8252754309784946e-05,0.005205315734507582,-0.0193892676189451,-0.00025521560785597187
-0.10619799185398009,0.002207665556183862,-0.0007531201350829489,0.09946373800810539,-0.01084311900172608,-0.0024617644776978,-0.004796006408358182,-0.03421851810145522,0.03617984109851065
-0.15471224277329762,0.008163709600985935,-0.00023361704095752923,0.07089485187017916,0.05743370463750849,-0.0007580082407389485,0.0014270131975364657,-0.01603435482055122,-0.06142731023009909
-0.05072450663865923,-0.003857614428477425,-0.00024060504661513923,-0.04553064144330311,-0.034905662574155574,-0.0044739847292622845,-0.004873565300216809,-0.007622316991450137,-0.014637427863757244
-0.11544946528090222,-0.00518458014809681,-0.0004890388877658142,-0.05147834438247513,0.027057228649838082,-0.002621936858555053,-0.007381328480583106,-0.005286721425398846,0.02425000258275875
0.002236513480894785,0.015938891858399463,0.0006520827910135142,0.15857291403733853,-0.008541234976394056,0.08643433069599724,0.01524024210830917,-0.0339920761115136,-0.0628111697511801
0.018063698627195895,-0.0125165893681629,-0.00011147867361961487,-0.020620038745990988,0.10170628132867278,0.016772600774395532,0.0005082306429522367,-0.021446858871765565,-0.04055806200063973
-0.11532525443336823,0.004213211440645959,-0.00019608554407496664,0.07147607898992189,0.02401292817162322,0.019566683763272003,-0.026140972350388925,-0.009191140778110887,-0.03875492691648755
-0.05820656300935516,0.009111057997178922,0.0021691710274237418,-0.05022469835692017,-0.011351984682386086,-0.006962331031359176,0.005465763046504257,0.014305020854154383,0.037405174332471675
0.22869153238220175,0.005762997725501845,-0.0006333921394445713,0.1653622249793492,0.06373811231744173,0.048560576334706625,0.04779055740302982,-0.01774750667426835,0.09026120109976277
-0.07896148186852274,-6.224702557586898e-05,-0.0008664410586039673,0.046421611131161965,0.03000478312517359,-0.03752193638272183,-0.003376094715329547,-0.009043176551734488,-0.05943413082279497
-0.05820656300935516,0.009111057997178922,0.0021691710274237418,-0.05022469835692017,-0.011351984682386086,-0.006962331031359176,0.005465763046504257,0.014305020854154383,0.037405174332471675
-0.054441578591162006,-0.004831389112334387,-0.00012963797098227954,-0.05135053497353336,-0.007676666164436058,-0.010338877255759125,0.0006693194475923898,-0.009312142091012289,-0.01937014345262521
0.07153055959373117,-0.009322019062014433,-0.0006629335332626789,-0.1138807002120293,-0.019366807944824545,-0.052172943542677215,0.0045127508357256105,-0.004406348758307994,-0.001917658836223128
-0.10604251757171743,-0.0013473414943352914,-0.0020111921613074897,0.11666648731331364,-0.015527825203316782,-0.03392885609967193,0.004086252609988368,-0.005844819169076365,0.04828928716822732
-0.0668099527304256,-0.0010876056926389932,-0.0005125585981214048,0.03552470506542196,-0.002822894813241961,0.0012430649577818314,-0.002509248776839525,-0.02105775776593401,-0.056792366889193126
-0.03145744480843965,0.0018488402317805605,-0.00010599884139595806,-0.03551515728178033,-0.02294383523704718,-0.011966560193380441,0.02488012247208162,-0.02310648948964473,-0.027491778613829856
0.05065322810065527,0.005579644489488569,0.0020246862466653213,-0.04805925035133901,-0.029376076322083937,0.004048405718458207,-0.003990522423230863,-0.018358560282605543,-0.019015216621352797
-0.06744796497077826,0.004078083121432911,0.0007825067284428792,-0.009360008214482792,-0.030019195387721125,-0.0028694135621762755,0.00025064579044258104,-0.01202213502710688,-0.010864235599602179
0.011942730745568685,0.007325868780215867,0.0026066922575602256,-0.04417985962683487,-0.035625066747384894,-0.004084799330451261,0.007829805676155915,-0.0033058141395310744,-0.01987966266960603
0.011519058781334184,-0.010220919567396656,-0.00033776407834058917,-0.07893232099088769,-0.017405668090556665,-0.0131630590217301,0.001653155079526146,-0.002664618632552933,-0.017894336699851472
0.021927894765251792,-0.015494663654728884,-0.0009395554931557731,-0.05496224829050502,0.09452685218900628,-0.02338508743361183,0.005922097083887011,0.012368355177895534,-0.017817805281295944
-0.076104616038861,-0.0012017667053789336,-0.0002050070453844849,-0.03790979644420927,0.025112413407592696,0.001492362686911417,0.002017195871327173,-0.012769436944755387,-0.0301010447017032
-0.030669417406128684,0.010964233460352904,0.004359897868972468,-0.02836636771256929,-0.021723237922496644,-0.00367630249974483,-0.015700209706379243,-0.005054389789774734,-0.002223973854112174
-0.054441578591162006,-0.004831389112334387,-0.00012963797098227954,-0.05135053497353336,-0.007676666164436058,-0.010338877255759125,0.0006693194475923898,-0.009312142091012289,-0.01937014345262521
0.005996614842323902,0.0011272707660337118,-0.0002527472966653149,-0.04431646587443098,-0.01976365611520536,-0.0016933513235151336,-0.0011786954372393224,-0.014872580021660661,-0.015966499325076093
0.06425088665143033,0.009575718128420051,0.0025772683841167364,-0.0873676675172704,-0.007048484230156745,-0.0167852572209225,0.011370327736894614,0.002615764205039832,0.04124570437582644
-0.11532525443336823,0.004213211440645959,-0.00019608554407496664,0.07147607898992189,0.02401292817162322,0.019566683763272003,-0.026140972350388925,-0.009191140778110887,-0.03875492691648755
-0.12995335592243515,0.0006524513790558517,-0.00048453709607216937,0.033132789394071036,-0.012011342993603652,-0.008707201617083016,0.0006675408223007484,-0.017891383908244136,-0.02199802692394146
-0.0555616332695157,0.001727951286487354,-0.00017663435728644972,-0.03733534203387813,0.036775463317621264,-0.01573408005314866,-0.015384831456251604,-0.010308351615007186,0.007776634829394604
0.1266283848808056,0.011833702805325036,-0.0008116998609975718,0.2038804909724947,0.04290372315034867,0.017738454143160665,-0.012524897689534542,-0.016855330170266407,0.03590116464873782
-0.0518944077757237,0.0004242168389381187,-0.00019534523426886189,-0.032930844549287165,-0.05351082425628632,-0.00984751944945905,0.004292463109650547,-0.020940207539484234,0.01767994294886741
0.004157927102316512,-0.012406030568438838,-0.00021600144935505832,-0.04621895988135092,0.06682343599427971,-0.01764662904972246,0.0013299066078107749,-0.016611677379629947,-0.06799695919290906
0.1136003933610879,-0.00673804444582714,-0.00027125034773126545,-0.09707824805792549,0.013148859444162574,-0.027167906699023737,0.015557090676313775,0.0011659742424824007,0.04748312051994384
0.010578068531497845,3.710222660994935e-05,-0.00048474631849606837,-0.0475414845883257,-0.02000546750424425,-0.0035276912900425346,0.0007646767547842166,-0.006030408477445947,-0.016199544496800618
0.08577315196053822,-0.004936865038470783,-0.0005250733700374981,-0.08333446776950157,-0.006631341612959447,-0.024668906638253527,-0.011725510597005107,-0.024415911066752144,-0.0027276143933190476
-0.07367633540501173,0.005205882838389846,0.0007758702445447398,-0.011480581675679793,-0.022516623801857965,0.006262484573204276,-0.0007614312842396289,-0.012606723690580138,-0.025543926979709985
-0.004720786670659392,0.04245353834975889,0.014432605549644461,-0.04453459926563981,-0.0471354955294173,-0.03846576055612727,0.06396232614954231,0.1774271713234143,0.009765562981442058
-0.025373857193233026,-0.00951922045226773,-0.0009285948626433238,-0.03136858595935681,0.09000942193010505,-0.004426788780439599,0.009349468866825002,0.018612372624091787,0.01335962058116051
-0.09338283607838041,-0.0018223882069599532,-0.0011559186352791558,0.07642798352279338,0.012259483620960293,-0.0028836746536203143,-0.006528346148046456,0.025858710523671596,0.017037238631339574
