is_delayed,delay_prob,uncertainty,predicted_congestion,is_anomaly,buffer_minutes,risk,risk_level,action,buffer_conservative,buffer_balanced,buffer_aggressive
0,0.13171873660134034,0.08705232421981579,0.4717886,0,-2.8471377,0.19463104261106748,low,Safe — proceed normally,-3.4,-2.8,-2.3
0,0.22406205864136902,0.08607161888601637,0.4717886,0,-2.321096,0.2359893964623205,low,Safe — proceed normally,-2.8,-2.3,-1.9
0,0.20529472551191608,0.08504534274471583,0.41329616,0,-2.8772423,0.2127157357998361,low,Safe — proceed normally,-3.5,-2.9,-2.3
0,0.17658747623587123,0.08412253504751384,0.41329616,0,-2.9694319,0.19961291208617551,low,Safe — proceed normally,-3.6,-3.0,-2.4
1,0.20177113844599404,0.08316203473646551,0.41329616,0,-2.9923396,0.21075346001852113,low,Safe — proceed normally,-3.6,-3.0,-2.4
0,0.18770827661434378,0.08225024176748115,0.41329616,0,-3.1203473,0.20424281360048163,low,Safe — proceed normally,-3.7,-3.1,-2.5
0,0.16187386988043495,0.08153076740427259,0.41329616,0,-3.1624274,0.19247343569758096,low,Safe — proceed normally,-3.8,-3.2,-2.5
0,0.36509548248308454,0.08418117260009347,0.5670726,0,1.3436542,0.3228973442183928,medium,Be careful — allow extra buffer,1.6,1.3,1.1
0,0.23393975744560383,0.0834274589627641,0.5905909,0,1.2850562,0.26960610619863945,low,Safe — proceed normally,1.5,1.3,1.0
0,0.1916754596275157,0.08258540966596742,0.5905909,0,1.1195812,0.25041876232114046,low,Safe — proceed normally,1.3,1.1,0.9
0,0.18339684654306915,0.08201029654691906,0.62809026,0,1.0030806,0.2559532058570212,low,Safe — proceed normally,1.2,1.0,0.8
0,0.18339684654306915,0.08135962560533301,0.62809026,0,1.0030806,0.25582307166870394,low,Safe — proceed normally,1.2,1.0,0.8
0,0.22175478366114937,0.0650956144285307,0.6378958,0,0.7107048,0.27228273116447943,low,Safe — proceed normally,0.9,0.7,0.6
0,0.22175478366114937,0.064938458286353,0.64263624,0,0.7107048,0.2734364041869518,low,Safe — proceed normally,0.9,0.7,0.6
0,0.19444777276853797,0.0647506448412513,0.64263624,0,0.7107048,0.26111068659625636,low,Safe — proceed normally,0.9,0.7,0.6
0,0.19444777276853797,0.06362513209503014,0.64263624,0,0.7107048,0.2608855840470121,low,Safe — proceed normally,0.9,0.7,0.6
0,0.19444777276853797,0.055415048907702,0.6421216,0,0.7107048,0.2591149107837988,low,Safe — proceed normally,0.9,0.7,0.6
0,0.3451977209537173,0.05826993281572382,0.6421216,0,0.7107048,0.32752336424873385,medium,Be careful — allow extra buffer,0.9,0.7,0.6
0,0.3451977209537173,0.06074515546888971,0.6414086,0,0.7107048,0.32784016108916625,medium,Be careful — allow extra buffer,0.9,0.7,0.6
0,0.3451977209537173,0.06332212781602188,0.6416445,0,0.7107048,0.32841451945343675,medium,Be careful — allow extra buffer,0.9,0.7,0.6
