hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score
-0.09117107866921777,-0.0025947199229461935,-1.3877787807814457e-17,0.0384693921579359,-0.07190427139479043,-0.016407602592837068,0.01861375129005561
0.048597189084781875,0.01728915746541074,5.204170427930421e-18,0.05285771185547736,-0.07286551006340111,0.007535892993366971,-0.10223863773761933
-0.02092002234778671,0.043625611952350714,-3.469446951953614e-18,0.0838731149456774,0.11735443889411783,0.014268931827507917,0.04333648040611299
-0.06371802924488043,-0.006867929058382281,-1.0726234565176275e-05,-0.05302345563510118,0.07502366286865438,-0.015581990808636564,0.03497087511521145
-0.15026655059106037,-0.004625774829803699,9.644651164615343e-06,-0.010816983967088164,0.044908279845025406,-0.024146580258539576,-0.008905704722429308
0.11547845879336825,-0.014332738670830904,1.8957668294489194e-05,-0.028425795664545127,-0.05946529292749862,-0.029559018203212564,0.02251939645394062
0.10380290952728446,-0.006727842525889447,1.2749234835358024e-05,-0.03513127315153054,-0.07618710515570515,0.014071206922332456,0.03143520395085215
0.030948732390456483,0.008705843962496115,6.870543584197586e-06,-0.03153337955699924,-0.07280794379347937,-0.008089096830769754,-0.042479469994703915
0.2009080993295648,-0.0032293996862135252,-1.3877787807814457e-17,-0.05748397498438135,0.08102004460633422,0.008727637302130477,-0.006314948892841732
0.05514197568013337,0.004410195617703741,2.4985402822492314e-05,-0.05108490812413704,-0.08127221658492152,-0.017723801752785213,-0.05702426753728651
-0.1298630403193335,-0.0016710274621533634,-6.35958487788745e-05,0.03949836724825825,-0.08857283250397688,-0.005239959196963657,0.00784980831838523
0.02514886800541229,0.006950100880892346,4.535539696614958e-05,-0.038370704610987245,-0.07491583589743818,-0.00799424585451683,0.011244428975818059
0.03377669757402808,-0.020994807963569964,-0.00010506191849706924,-0.0432228229617079,-0.05136940072740734,0.008656977559595056,0.023294221662450584
0.053947488781840844,-0.04374131643011548,7.3108486831202635e-06,0.019745701263503466,-0.008559109386677536,-0.0015306001131733214,-0.08009680821544803
0.19303586331320305,0.03870333875529472,7.448552797209226e-06,0.1659916751083607,-0.0018725628769025188,0.013957607554116588,-0.05861657537380234
-0.10783106078300642,0.00460850518794422,-0.00010985125415027093,0.04419678180268965,-0.06994180253148077,-0.0029675933044248553,0.012607105851561459
-0.05641900732616587,-0.004040239371359365,2.5262419134380702e-05,0.040901137294558194,-0.03383605758690589,0.006009077467645204,0.021749455777928244
-0.13542003998175897,-0.004943275889769824,-0.00010023646367093202,0.015947675328236075,0.10581435691697214,0.018336904797780638,0.03344272482108014
0.060368042408022994,0.015361190296709563,-2.432402595877771e-05,0.08907540773724518,-0.05917817329615353,-0.005687539657577864,0.011462906127950808
-0.0014182739057578067,0.0027627142991404905,1.4362847432459677e-06,-0.07621356510200232,-0.0645920540591857,-0.0049889099853268615,0.003482266846811401
0.2630029314112229,-0.003430403516006957,-1.3877787807814457e-17,0.057435431534269235,0.12274317986657851,-0.0025419552299814777,-0.027646556933100027
-0.0013127834917977844,-0.024013596003409535,1.2097415824721854e-05,0.014978098387364282,0.08898309693050882,0.02205857904752096,0.05202073988132179
0.03377186966765052,0.0018174415797305834,-4.720155025522265e-05,-0.04417425960736969,-0.04448821096463747,0.011751692466593034,0.010394376454098775
0.06595952216671622,-0.012578976218355784,-5.473167433714919e-05,-0.10884616881880599,-0.02571657816355582,-0.009056620155810376,-0.016320719637170737
-0.06023026435473007,-0.00683226536043609,1.745759385326888e-05,-0.030618705192270355,-0.05175636362090395,-0.025024715681948383,-0.01801299278554505
-0.004017331861813224,0.0030728313718767167,2.6138357818130363e-05,-0.026679912269969165,-0.10010228670900685,-0.01778595322743059,0.01616070350003429
-0.07482852850854402,-0.004285817527057008,-6.25804911057186e-05,0.004133127124824878,0.19003238648284843,0.021720152236210807,0.038317180414528904
-0.06321248098167906,0.014345188798227661,0.00010172963452834962,-0.03150786134026323,0.05207206976910432,-0.015070062907412645,-0.058373680202135195
