is_delayed,delay_prob,predicted_congestion,is_anomaly,buffer_minutes,risk,expected_delay_min,transfer_time,effective_slack,miss_probability,miss_risk_band
0,0.1318327121365003,0.6638317,0,41.92697,0.2252826481652825,7.909962728190018,11.638317,22.37869027180998,0.0964010065959096,safe
0,0.128693943398139,0.6638317,0,41.54776,0.22387020223302,7.72163660388834,11.638317,22.187806396111654,0.09807661313088746,safe
1,0.5432536832357076,0.3653938,0,37.14894,0.3358126043616813,32.59522099414245,8.653938,-4.100218994142448,0.6010931299054644,danger
0,0.2374153983483765,0.38501075,0,37.090046,0.2030896165321791,14.24492390090259,8.8501075,13.99501459909741,0.19789523414279664,caution
0,0.2317331620451234,0.39223966,0,36.84893,0.2023398379264662,13.903989722707404,8.922396599999999,14.0225436772926,0.1974586210152779,caution
1,0.280011089189672,0.3924335,0,37.090046,0.2241133637177155,16.80066535138032,8.924335,11.365045648619681,0.24296270500170564,caution
1,0.4116709519634859,0.3924335,0,36.84893,0.2833603019659317,24.700257117809155,8.924335,3.2243378821908486,0.4200827297919448,danger
0,0.2795008145801188,0.41924474,0,35.834644,0.2305865506693107,16.770048874807127,9.192447399999999,9.872147725192871,0.2714625631162493,caution
0,0.2867084467987317,0.41924474,0,35.834644,0.2338299851676865,17.202506807923903,9.192447399999999,9.439689792076095,0.2800993248967381,caution
0,0.2789746636634859,0.41924474,0,35.603676,0.254905085888304,16.738479819809154,9.192447399999999,9.672748780190847,0.27542400991920213,caution
0,0.2383934783776418,0.41924474,0,35.571335,0.2355245761754688,14.303608702658508,9.192447399999999,12.07527889734149,0.23013875463618572,caution
0,0.2278057064453491,0.4824433,0,38.437534,0.2456496217839296,13.668342386720946,9.824432999999999,14.944758613279056,0.1832508753263412,caution
0,0.2278057064453491,0.4824433,0,38.437534,0.2448358231064885,13.668342386720946,9.824432999999999,14.944758613279056,0.1832508753263412,caution
1,0.2027506521338192,0.4824433,0,38.437534,0.233012373704528,12.165039128029152,9.824432999999999,16.44806187197085,0.1618121443482774,caution
