hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
6,2,0,59.1,19.29,-10.0,0.4584558823529411,0.5218480378513777,15.70668485675307,1,0,0.16266543635292519
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,15.495,-1.0,0.932720588235294,11.401605024424285,9.573684210526316,1,0,0.1466275748826264
8,2,0,59.1,14.805,3.0,0.932720588235294,11.401605024424285,9.858288770053475,1,0,0.2116717580021354
12,2,0,59.1,8.895,-4.0,0.6266544117647059,0.5218480378513777,13.932551319648091,1,0,0.17700423512835334
12,2,0,59.1,8.655,83.0,0.6266544117647059,0.5218480378513777,14.782352941176471,1,0,0.3033486053126104
12,2,0,59.1,8.475,-5.0,0.6266544117647059,11.401605024424285,9.349693251533742,1,0,0.24517617952280174
13,2,0,59.1,8.59,133.0,0.5610294117647059,0.5218480378513777,-1.2762237762237765,1,0,0.18955953041388188
13,2,0,59.1,8.59,133.0,0.5610294117647059,0.5218480378513777,-1.2762237762237765,1,0,0.18955953041388188
13,2,0,59.1,8.255,30.0,0.5610294117647059,11.401605024424285,7.26984126984127,1,0,0.1720552770012471
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.305,-4.0,0.6955882352941176,11.401605024424285,13.290697674418604,1,0,0.243077294012602
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.605,30.0,0.6955882352941176,11.401605024424285,9.573684210526316,1,0,0.16906807671098772
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
14,2,0,59.1,5.755,-1.0,0.6955882352941176,11.401605024424285,9.621160409556314,1,0,0.20168524567469226
15,2,0,59.1,6.03,4.0,0.7544117647058823,0.5218480378513777,4.088662790697675,1,0,0.3391521453646987
15,2,0,59.1,6.03,4.0,0.7544117647058823,0.5218480378513777,4.088662790697675,1,0,0.3391521453646987
15,2,0,59.1,5.92,10.0,0.7544117647058823,0.5218480378513777,2.127891156462585,1,0,0.3131562314281761
15,2,0,59.1,5.92,10.0,0.7544117647058823,0.5218480378513777,2.127891156462585,1,0,0.3131562314281761
15,2,0,59.1,6.37,2.0,0.7544117647058823,0.5218480378513777,-2.531150159744409,1,0,0.21002776495496506
15,2,0,59.1,6.455,85.0,0.7544117647058823,11.401605024424285,1.95625,1,0,0.3555679089883088
16,2,0,59.1,7.02,0.0,0.6939338235294118,11.401605024424285,-0.7538461538461538,1,0,0.32720235797963915
16,2,0,59.1,7.42,-4.0,0.6939338235294118,0.5218480378513777,-4.256281407035176,1,0,0.20526581221184093
16,2,0,59.1,7.42,-4.0,0.6939338235294118,0.5218480378513777,-4.256281407035176,1,0,0.20526581221184093
16,2,0,59.1,7.42,-4.0,0.6939338235294118,0.5218480378513777,-4.256281407035176,1,0,0.20526581221184093
