run,gate,destination,terminal,walking_speed,congestion,stay_minutes,gate_change,trip_time,buffer,safe
672,GATE_A2,RESTROOM_T8,8,1.06,0.9,20,False,21.64,35,True
673,GATE_B1,RESTROOM_T4,4,1.62,1.49,20,False,23.57,35,True
674,GATE_B3,MC_DONALDS_T4,4,1.15,1.38,7,True,17.13,35,True
675,GATE_D2,SHAKE_SHACK_T7,7,1.1,1.46,8,True,17.87,35,True
676,GATE_C1,STARBUCKS_T5,5,1.57,1.28,10,True,17.3,35,True
677,GATE_D2,RESTROOM_T7,7,1.35,1.02,7,False,9.16,35,True
678,GATE_D2,RESTROOM_T7,7,1.51,1.33,17,False,19.53,35,True
679,GATE_C3,DUNKIN_T5,5,1.43,1.08,15,True,19.54,35,True
680,GATE_A3,STARBUCKS_T8,8,1.45,1.23,11,False,16.03,35,True
681,GATE_A1,RESTROOM_T8,8,1.79,0.85,16,False,17.77,35,True
682,GATE_D2,RESTROOM_T7,7,1.64,1.43,17,False,19.51,35,True
683,GATE_D2,SHAKE_SHACK_T7,7,1.41,1.04,18,False,23.53,35,True
684,GATE_B1,MC_DONALDS_T4,4,1.72,0.82,12,False,18.52,35,True
685,GATE_B1,MC_DONALDS_T4,4,1.62,1.27,7,False,17.6,35,True
686,GATE_A1,RESTROOM_T8,8,1.11,1.44,17,False,21.84,35,True
687,GATE_B3,STARBUCKS_T4,4,2.06,1.18,17,False,19.41,35,True
688,GATE_A2,STARBUCKS_T8,8,1.47,1.06,7,False,12.69,35,True
689,GATE_A1,RESTROOM_T8,8,1.98,1.01,13,False,14.89,35,True
690,GATE_C2,DUNKIN_T5,5,1.18,1.3,9,False,18.77,35,True
691,GATE_B1,STARBUCKS_T4,4,1.4,0.9,11,False,16.0,35,True
692,GATE_B1,MC_DONALDS_T4,4,1.34,1.49,9,False,24.11,35,True
693,GATE_B1,STARBUCKS_T4,4,1.35,0.93,11,False,16.39,35,True
694,GATE_A1,RESTROOM_T8,8,1.39,1.46,5,False,8.91,35,True
695,GATE_B1,RESTROOM_T4,4,1.52,1.23,8,False,11.15,35,True
696,GATE_C1,STARBUCKS_T5,5,1.51,0.84,7,False,12.0,35,True
697,GATE_D2,RESTROOM_T7,7,1.49,1.25,12,False,14.41,35,True
698,GATE_B2,RESTROOM_T4,4,1.18,0.9,14,True,15.61,35,True
699,GATE_C3,DUNKIN_T5,5,1.13,1.49,13,False,20.95,35,True
700,GATE_B1,STARBUCKS_T4,4,1.17,0.94,17,True,23.24,35,True
701,GATE_C1,STARBUCKS_T5,5,1.63,0.86,5,False,9.7,35,True
702,GATE_D1,SHAKE_SHACK_T7,7,1.49,1.41,17,False,26.95,35,True
703,GATE_D2,SHAKE_SHACK_T7,7,1.39,1.35,20,False,27.25,35,True
704,GATE_D1,SHAKE_SHACK_T7,7,1.4,0.91,15,False,21.82,35,True
705,GATE_B2,MC_DONALDS_T4,4,1.08,1.41,15,False,29.34,35,True
706,GATE_B1,RESTROOM_T4,4,1.27,1.07,19,False,22.28,35,True
707,GATE_D1,SHAKE_SHACK_T7,7,1.5,1.03,16,False,23.24,35,True
708,GATE_B3,STARBUCKS_T4,4,1.33,1.15,17,True,20.64,35,True
709,GATE_A1,STARBUCKS_T8,8,1.81,1.3,8,False,15.16,35,True
710,GATE_B2,STARBUCKS_T4,4,0.96,1.24,8,False,15.3,35,True
711,GATE_D2,SHAKE_SHACK_T7,7,1.5,0.97,18,False,22.83,35,True
712,GATE_C1,RESTROOM_T5,5,1.34,0.91,12,False,15.28,35,True
713,GATE_D1,RESTROOM_T7,7,1.57,0.8,15,False,17.83,35,True
714,GATE_B1,STARBUCKS_T4,4,1.56,0.99,10,False,14.94,35,True
715,GATE_C3,STARBUCKS_T5,5,1.18,1.29,12,False,16.45,35,True
716,GATE_A3,STARBUCKS_T8,8,1.5,0.88,9,True,12.48,35,True
717,GATE_D2,RESTROOM_T7,7,1.2,1.07,11,False,13.55,35,True
718,GATE_D2,SHAKE_SHACK_T7,7,1.26,0.94,13,False,18.59,35,True
719,GATE_A1,STARBUCKS_T8,8,1.74,1.07,7,False,13.15,35,True
720,GATE_B3,RESTROOM_T4,4,1.94,1.23,19,False,20.79,35,True
721,GATE_C1,DUNKIN_T5,5,1.14,1.01,18,False,28.55,35,True
722,GATE_A2,STARBUCKS_T8,8,1.26,1.14,16,True,23.17,35,True
723,GATE_B2,RESTROOM_T4,4,1.13,1.29,7,True,9.41,35,True
724,GATE_D2,SHAKE_SHACK_T7,7,1.6,0.99,9,True,13.62,35,True
725,GATE_C2,RESTROOM_T5,5,0.93,1.16,11,True,14.56,35,True
726,GATE_B1,STARBUCKS_T4,4,1.87,1.16,14,False,18.84,35,True
727,GATE_B3,STARBUCKS_T4,4,1.49,0.99,15,False,17.8,35,True
728,GATE_A1,STARBUCKS_T8,8,1.78,0.9,15,False,20.08,35,True
729,GATE_D2,SHAKE_SHACK_T7,7,1.47,0.99,16,False,21.01,35,True
730,GATE_A2,STARBUCKS_T8,8,1.74,1.18,7,False,12.37,35,True
731,GATE_B3,STARBUCKS_T4,4,1.69,1.1,19,False,21.75,35,True
732,GATE_C2,DUNKIN_T5,5,1.05,0.87,16,False,23.36,35,True
733,GATE_C3,STARBUCKS_T5,5,1.72,1.39,13,True,16.28,35,True
734,GATE_C3,RESTROOM_T5,5,1.64,1.17,6,False,8.38,35,True
735,GATE_C3,STARBUCKS_T5,5,1.28,1.38,5,False,9.38,35,True
736,GATE_B2,MC_DONALDS_T4,4,1.65,1.34,5,False,13.95,35,True
737,GATE_A3,STARBUCKS_T8,8,2.01,0.84,7,False,9.48,35,True
738,GATE_B1,MC_DONALDS_T4,4,1.45,1.02,14,False,23.57,35,True
739,GATE_B1,MC_DONALDS_T4,4,1.35,0.87,19,False,27.76,35,True
740,GATE_B2,RESTROOM_T4,4,1.4,0.81,7,False,8.21,35,True
741,GATE_B1,RESTROOM_T4,4,1.34,0.82,19,False,21.37,35,True
742,GATE_C3,STARBUCKS_T5,5,1.0,0.91,15,False,18.72,35,True
743,GATE_C3,RESTROOM_T5,5,1.5,1.14,13,False,15.53,35,True
744,GATE_C1,STARBUCKS_T5,5,1.51,1.44,12,False,20.61,35,True
745,GATE_B1,STARBUCKS_T4,4,1.43,1.21,8,False,14.56,35,True
746,GATE_C3,DUNKIN_T5,5,1.64,1.18,5,False,9.32,35,True
747,GATE_B3,RESTROOM_T4,4,1.42,1.07,9,False,11.14,35,True
748,GATE_D2,RESTROOM_T7,7,1.68,1.02,17,True,18.74,35,True
749,GATE_C3,RESTROOM_T5,5,1.35,1.28,8,False,11.17,35,True
750,GATE_B3,STARBUCKS_T4,4,0.93,1.15,19,True,24.19,35,True
751,GATE_C1,DUNKIN_T5,5,1.66,1.45,15,False,25.35,35,True
752,GATE_B2,MC_DONALDS_T4,4,1.63,0.95,14,False,20.4,35,True
753,GATE_A3,STARBUCKS_T8,8,1.38,1.39,5,False,10.99,35,True
754,GATE_D1,SHAKE_SHACK_T7,7,0.98,1.49,15,False,30.99,35,True
755,GATE_A1,STARBUCKS_T8,8,1.46,1.03,6,False,13.07,35,True
756,GATE_B3,MC_DONALDS_T4,4,1.69,1.02,9,False,14.08,35,True
757,GATE_B3,STARBUCKS_T4,4,1.67,1.44,12,True,15.65,35,True
758,GATE_B2,RESTROOM_T4,4,1.05,0.93,16,False,17.87,35,True
759,GATE_C1,STARBUCKS_T5,5,1.54,1.37,14,True,22.0,35,True
760,GATE_C2,STARBUCKS_T5,5,1.35,0.95,7,False,11.4,35,True
761,GATE_A3,RESTROOM_T8,8,1.59,1.12,12,False,13.5,35,True
762,GATE_A1,RESTROOM_T8,8,1.34,1.47,20,False,24.08,35,True
763,GATE_D2,RESTROOM_T7,7,1.42,1.2,12,False,14.42,35,True
764,GATE_A1,STARBUCKS_T8,8,1.21,1.29,14,False,24.67,35,True
765,GATE_D1,SHAKE_SHACK_T7,7,0.87,1.48,11,False,28.92,35,True
766,GATE_C3,RESTROOM_T5,5,1.37,0.87,11,False,13.11,35,True
767,GATE_D2,RESTROOM_T7,7,1.63,0.99,19,False,20.74,35,True
768,GATE_D2,RESTROOM_T7,7,1.39,1.08,20,False,22.24,35,True
769,GATE_C1,RESTROOM_T5,5,1.75,0.81,17,False,19.22,35,True
770,GATE_A3,STARBUCKS_T8,8,1.59,1.37,5,False,10.12,35,True
771,GATE_C2,RESTROOM_T5,5,1.45,0.87,6,False,7.7,35,True
772,GATE_A1,STARBUCKS_T8,8,1.32,0.85,6,False,12.42,35,True
773,GATE_D2,SHAKE_SHACK_T7,7,1.42,1.31,8,False,14.85,35,True
774,GATE_C2,RESTROOM_T5,5,1.76,1.09,16,False,17.77,35,True
775,GATE_C3,DUNKIN_T5,5,1.19,0.92,13,False,17.67,35,True
776,GATE_C3,DUNKIN_T5,5,1.25,0.94,17,True,21.51,35,True
777,GATE_A2,RESTROOM_T8,8,1.39,0.98,10,False,11.37,35,True
778,GATE_D1,SHAKE_SHACK_T7,7,1.46,0.82,16,True,21.92,35,True
779,GATE_A1,STARBUCKS_T8,8,1.33,0.82,11,False,17.2,35,True
780,GATE_A2,RESTROOM_T8,8,1.65,0.92,6,False,7.08,35,True
781,GATE_B3,MC_DONALDS_T4,4,1.84,1.05,14,False,18.83,35,True
782,GATE_C2,DUNKIN_T5,5,1.28,1.31,11,False,20.13,35,True
783,GATE_C2,DUNKIN_T5,5,1.19,1.35,8,False,18.1,35,True
784,GATE_B2,RESTROOM_T4,4,1.43,1.15,20,False,21.7,35,True
785,GATE_A2,STARBUCKS_T8,8,1.55,0.96,8,False,12.9,35,True
786,GATE_D1,RESTROOM_T7,7,1.47,1.17,20,False,24.4,35,True
787,GATE_A2,STARBUCKS_T8,8,1.29,1.05,9,False,15.43,35,True
788,GATE_D2,SHAKE_SHACK_T7,7,1.1,1.47,19,False,28.95,35,True
